nichoir;espece;tarse;poids;essence_dominante
142;PARCAE;17.33;10.79;CHENE
142;PARCAE;17.16;11.1;CHENE
142;PARCAE;16.895;10;CHENE
142;PARCAE;17.31;11.1;CHENE
142;PARCAE;16.535;10.48;CHENE
142;PARCAE;16.79;11.49;CHENE
142;PARCAE;16.88;10.32;CHENE
143;PARCAE;18.145;11.29;CHENE
143;PARCAE;17.575;10.06;CHENE
143;PARCAE;18.11;14.01;CHENE
143;PARCAE;17.92;12.47;CHENE
143;PARCAE;16.76;10.58;CHENE
143;PARCAE;16.75;10.76;CHENE
143;PARCAE;17.905;11.48;CHENE
143;PARCAE;18.185;12.46;CHENE
143;PARCAE;17.57;11.61;CHENE
152;PARCAE;16.97;12.08;CHENE
152;PARCAE;16.53;10.77;CHENE
152;PARCAE;16.585;11.01;CHENE
153;PARMAJ;19.64;17.3;CHENE
153;PARMAJ;20.445;19.12;CHENE
153;PARMAJ;19.945;15.8;CHENE
153;PARMAJ;20.06;18.19;CHENE
153;PARMAJ;20.185;17.63;CHENE
153;PARMAJ;20.155;18.18;CHENE
153;PARMAJ;20.3;18.66;CHENE
153;PARMAJ;20.695;18.47;CHENE
153;PARMAJ;19.4;17.48;CHENE
451;PARMAJ;20.835;17.68;CHENE
451;PARMAJ;21.585;19.02;CHENE
451;PARMAJ;20.865;18.35;CHENE
451;PARMAJ;20.995;19.01;CHENE
451;PARMAJ;20;18.13;CHENE
451;PARMAJ;21.205;18.48;CHENE
451;PARMAJ;20.625;16.78;CHENE
451;PARMAJ;19.91;17.55;CHENE
451;PARMAJ;20.385;16.5;CHENE
451;PARMAJ;20.76;17.07;CHENE
451;PARMAJ;19.81;19.39;CHENE
451;PARMAJ;20.73;19.41;CHENE
451;PARMAJ;19.645;16.18;CHENE
451;PARMAJ;20.35;17.31;CHENE
451;PARMAJ;20.345;18.16;CHENE
452;PARCAE;17.72;10.56;CHENE
452;PARCAE;17.81;10.42;CHENE
452;PARCAE;16.96;10.7;CHENE
452;PARCAE;18.085;10.78;CHENE
452;PARCAE;17.39;10.19;CHENE
452;PARCAE;18.215;11.08;CHENE
452;PARCAE;17.22;9.88;CHENE
452;PARCAE;17.51;10.08;CHENE
452;PARCAE;17.265;9.28;CHENE
452;PARCAE;17.935;10.28;CHENE
452;PARCAE;17.415;10.29;CHENE
453;PARCAE;16.745;10.71;CHENE
453;PARCAE;17.895;11.62;CHENE
453;PARCAE;16.91;9.96;CHENE
453;PARCAE;17.2;10.31;CHENE
453;PARCAE;16.975;10.53;CHENE
453;PARCAE;18.58;12.22;CHENE
453;PARCAE;17.93;12.15;CHENE
453;PARCAE;17.08;10.93;CHENE
453;PARCAE;16.78;10.26;CHENE
453;PARCAE;17.12;11.17;CHENE
453;PARCAE;17.325;10.41;CHENE
453;PARCAE;17.78;11.14;CHENE
453;PARCAE;16.38;10.27;CHENE
454;PARMAJ;20.3;17;CHENE
454;PARMAJ;20.12;17.74;CHENE
454;PARMAJ;19.96;16.32;CHENE
454;PARMAJ;20.45;17.52;CHENE
454;PARMAJ;19.965;18.58;CHENE
455;PARMAJ;20.59;17.9;MELANGE
455;PARMAJ;20.99;17.18;MELANGE
455;PARMAJ;19.405;15.98;MELANGE
455;PARMAJ;20.785;17.2;MELANGE
455;PARMAJ;20.85;17.05;MELANGE
455;PARMAJ;19.725;17.16;MELANGE
455;PARMAJ;21.27;17.75;MELANGE
455;PARMAJ;20.205;17.83;MELANGE
455;PARMAJ;19.78;17.2;MELANGE
455;PARMAJ;19.13;15.16;MELANGE
457;PARCAE;16.055;10.8;MELANGE
457;PARCAE;17.43;11.78;MELANGE
457;PARCAE;16.71;11.14;MELANGE
457;PARCAE;16.515;10.9;MELANGE
457;PARCAE;16.44;10.64;MELANGE
457;PARCAE;16.29;10.67;MELANGE
457;PARCAE;16.22;11.34;MELANGE
457;PARCAE;17.15;12.15;MELANGE
457;PARCAE;16.685;11.08;MELANGE
457;PARCAE;16.805;10.57;MELANGE
457;PARCAE;16.8;11.01;MELANGE
457;PARCAE;16.6;11.37;MELANGE
457;PARCAE;16.53;11.03;MELANGE
458;PARMAJ;20.04;18.09;CHENE
458;PARMAJ;20.65;18.43;CHENE
458;PARMAJ;20.5;18.3;CHENE
458;PARMAJ;20.66;17.86;CHENE
458;PARMAJ;20.19;17.87;CHENE
458;PARMAJ;20.935;16.98;CHENE
458;PARMAJ;20.14;19.21;CHENE
458;PARMAJ;20.375;18.55;CHENE
458;PARMAJ;20.805;19.89;CHENE
458;PARMAJ;20.3;16.68;CHENE
458;PARMAJ;20.875;18.64;CHENE
504;PARMAJ;20.25;17.04;MELANGE
504;PARMAJ;20.415;18.08;MELANGE
504;PARMAJ;20.9;19.17;MELANGE
504;PARMAJ;20.91;17.48;MELANGE
504;PARMAJ;20.155;14.94;MELANGE
504;PARMAJ;19.68;17.06;MELANGE
504;PARMAJ;20.42;16.14;MELANGE
504;PARMAJ;20.925;16.78;MELANGE
504;PARMAJ;20.005;15.95;MELANGE
551;PARCAE;16.31;10.5;PIN
551;PARCAE;16.9;11.32;PIN
551;PARCAE;17.715;11.58;PIN
551;PARCAE;15.24;8.15;PIN
551;PARCAE;16.535;11.2;PIN
551;PARCAE;16.89;10.9;PIN
551;PARCAE;16.11;11.22;PIN
551;PARCAE;16.675;11.79;PIN
551;PARCAE;17.33;11.57;PIN
551;PARCAE;16.185;11.28;PIN
551;PARCAE;16.535;10.85;PIN
552;PARMAJ;20.705;18.23;PIN
552;PARMAJ;20.205;17.09;PIN
552;PARMAJ;20.09;18;PIN
552;PARMAJ;19.825;18.33;PIN
552;PARMAJ;20.62;16.83;PIN
552;PARMAJ;19.825;17.25;PIN
552;PARMAJ;20.235;18.66;PIN
552;PARMAJ;20.435;17.36;PIN
552;PARMAJ;19.72;16.35;PIN
552;PARMAJ;19.705;16.6;PIN
751;PARCAE;16.23;11.79;PIN
751;PARCAE;16.62;11.79;PIN
751;PARCAE;16.355;11.56;PIN
751;PARCAE;15.595;10.22;PIN
752;PARCAE;15.685;9.31;PIN
752;PARCAE;16.62;10.76;PIN
752;PARCAE;15.33;9.75;PIN
752;PARCAE;16.225;10.06;PIN
752;PARCAE;15.5;10.02;PIN
752;PARCAE;16.015;9.71;PIN
752;PARCAE;15.515;9.02;PIN
752;PARCAE;15.99;9.98;PIN
752;PARCAE;16.985;10.95;PIN
752;PARCAE;NA;7.93;PIN
753;PARMAJ;21.035;19.4;PIN
753;PARMAJ;18.785;17.49;PIN
753;PARMAJ;20.785;18.91;PIN
753;PARMAJ;19.67;17.28;PIN
753;PARMAJ;20.37;18.95;PIN
753;PARMAJ;19.515;18.02;PIN
753;PARMAJ;20.165;17.5;PIN
753;PARMAJ;20.26;18.95;PIN
771;PARCAE;17.23;11.06;CHENE
771;PARCAE;17.36;11.48;CHENE
771;PARCAE;17.105;10.23;CHENE
771;PARCAE;16.995;10.94;CHENE
771;PARCAE;16.79;10.53;CHENE
771;PARCAE;15.57;8.69;CHENE
771;PARCAE;17.06;10.93;CHENE
771;PARCAE;17.165;11.01;CHENE
771;PARCAE;17.32;10.63;CHENE
771;PARCAE;17.275;10.73;CHENE
771;PARCAE;16.76;9.86;CHENE
771;PARCAE;15.97;9.69;CHENE
771;PARCAE;17.01;10.24;CHENE
772;PARMAJ;19.67;18.13;CHENE
772;PARMAJ;19.93;17.82;CHENE
772;PARMAJ;20.22;19.18;CHENE
772;PARMAJ;20.165;17.94;CHENE
772;PARMAJ;19.98;18.1;CHENE
772;PARMAJ;20.155;17.36;CHENE
772;PARMAJ;19.285;18.4;CHENE
774;PARCAE;16.615;10.62;CHENE
774;PARCAE;17;10.95;CHENE
774;PARCAE;17.975;11.45;CHENE
774;PARCAE;16.49;10.29;CHENE
774;PARCAE;16.57;10.7;CHENE
792;PARMAJ;19.13;14.45;CHENE
792;PARMAJ;20.26;18.89;CHENE
792;PARMAJ;20.015;16.98;CHENE
792;PARMAJ;20.24;16.59;CHENE
792;PARMAJ;19.54;17.17;CHENE
792;PARMAJ;19.56;18.7;CHENE
792;PARMAJ;20.575;17.28;CHENE
793;PARMAJ;20.335;17.92;CHENE
793;PARMAJ;19.68;18.51;CHENE
793;PARMAJ;19.755;18.21;CHENE
793;PARMAJ;19.965;16.75;CHENE
793;PARMAJ;20.62;17.94;CHENE
793;PARMAJ;19.575;18.3;CHENE
793;PARMAJ;19.995;17.71;CHENE
793;PARMAJ;20.41;19.15;CHENE
793;PARMAJ;19.685;18.52;CHENE
1251;PARMAJ;20.515;19.2;PIN
1251;PARMAJ;21.28;18.27;PIN
1251;PARMAJ;20.33;18.2;PIN
1251;PARMAJ;20.29;16.85;PIN
1251;PARMAJ;20.06;17.7;PIN
1251;PARMAJ;21.07;19.48;PIN
1251;PARMAJ;20.975;18.97;PIN
1251;PARMAJ;20.735;18.4;PIN
1251;PARMAJ;21.45;19.88;PIN
1251;PARMAJ;21.205;18.69;PIN
1251;PARMAJ;20.7;17.26;PIN
1252;PARMAJ;20.055;18.31;PIN
1252;PARMAJ;20.7;18.31;PIN
1252;PARMAJ;20.845;20.53;PIN
1253;PARMAJ;20.425;18.8;PIN
1253;PARMAJ;20.52;17.76;PIN
1253;PARMAJ;19.685;16.8;PIN
1253;PARMAJ;20.605;18.73;PIN
1253;PARMAJ;20.8;18.9;PIN
1253;PARMAJ;20.64;19.5;PIN
1253;PARMAJ;21.4;16.68;PIN
1392;PARMAJ;18.65;15.96;PIN
1392;PARMAJ;18.425;15.23;PIN
1392;PARMAJ;18.68;15.75;PIN
1392;PARMAJ;18.96;16.2;PIN
1392;PARMAJ;18.775;17.25;PIN
1392;PARMAJ;18.705;15.74;PIN
1442;PARMAJ;20.355;15.79;PIN
1442;PARMAJ;20.155;13.67;PIN
1442;PARMAJ;20.155;14.35;PIN
1442;PARMAJ;19.345;14.3;PIN
1442;PARMAJ;19.495;15.61;PIN
1442;PARMAJ;19.68;15.27;PIN
1442;PARMAJ;19.75;15.47;PIN
1442;PARMAJ;20.39;15.72;PIN
1442;PARMAJ;20.175;16.09;PIN
1443;PARCAE;17.175;10.43;PIN
1443;PARCAE;17.64;10.71;PIN
1443;PARCAE;17.055;10.97;PIN
1443;PARCAE;17.495;11.19;PIN
1443;PARCAE;16.69;9.16;PIN
1443;PARCAE;17.4;10.82;PIN
1443;PARCAE;15.95;8.56;PIN
1443;PARCAE;16.015;9.68;PIN
1443;PARCAE;16.475;10.08;PIN
1443;PARCAE;17.495;11.04;PIN
1444;PARMAJ;19.445;17.08;PIN
1444;PARMAJ;20.41;17.6;PIN
1444;PARMAJ;19.9;16.76;PIN
1444;PARMAJ;19.155;15.56;PIN
1444;PARMAJ;19.965;16.68;PIN
1444;PARMAJ;19.845;15.98;PIN
1444;PARMAJ;19.925;17.34;PIN
1444;PARMAJ;19.315;16.91;PIN
1444;PARMAJ;20.17;19.43;PIN
1623;PARMAJ;20.18;18.97;PIN
1623;PARMAJ;20.9;18.3;PIN
1623;PARMAJ;20.67;18.64;PIN
1623;PARMAJ;18.95;15.98;PIN
1623;PARMAJ;20.65;19.03;PIN
1623;PARMAJ;19.925;16.38;PIN
1623;PARMAJ;19.81;18.77;PIN
1623;PARMAJ;20.045;17.66;PIN
1623;PARMAJ;20.815;19.01;PIN
1624;PARMAJ;19.785;17.89;PIN
1624;PARMAJ;20.215;18.95;PIN
1624;PARMAJ;19.81;17.65;PIN
1624;PARMAJ;21.06;19.7;PIN
1624;PARMAJ;21.295;19.38;PIN
1624;PARMAJ;19.695;18.33;PIN
1624;PARMAJ;20.29;18.68;PIN
1624;PARMAJ;19.9;19.79;PIN
1624;PARMAJ;21.135;19.16;PIN
1663;PARCAE;15.215;7.42;MELANGE
1663;PARCAE;14.885;8.71;MELANGE
1663;PARCAE;16.7;9.62;MELANGE
1663;PARCAE;15.675;8.65;MELANGE
1663;PARCAE;15.085;8.26;MELANGE
1663;PARCAE;15.02;8.75;MELANGE
2151;PARMAJ;19.485;16.5;PIN
2151;PARMAJ;20.1;18.13;PIN
2151;PARMAJ;19.61;16.6;PIN
2151;PARMAJ;19.45;18.24;PIN
2151;PARMAJ;20.045;17.03;PIN
2151;PARMAJ;20.6;17.69;PIN
2151;PARMAJ;20.4;18.62;PIN
2151;PARMAJ;19.85;17.68;PIN
2152;PARMAJ;19.875;17.63;PIN
2152;PARMAJ;19.485;16.88;PIN
2152;PARMAJ;19.555;17.78;PIN
2152;PARMAJ;19.715;17.49;PIN
2152;PARMAJ;21.13;18.85;PIN
2152;PARMAJ;20.065;17.63;PIN
2152;PARMAJ;20.205;19.8;PIN
2152;PARMAJ;20.865;18.35;PIN
2152;PARMAJ;20.055;16.93;PIN
2152;PARMAJ;19.425;17.96;PIN
2161;PARMAJ;19.615;15.39;PIN
2161;PARMAJ;17.255;15.9;PIN
2161;PARMAJ;20.52;19.5;PIN
2161;PARMAJ;19.635;16;PIN
2162;PARMAJ;19.43;17.23;PIN
2162;PARMAJ;19.46;16.58;PIN
2162;PARMAJ;20.5;17.96;PIN
2162;PARMAJ;19.1;15.75;PIN
2162;PARMAJ;20.33;18.38;PIN
2162;PARMAJ;19.755;17.8;PIN
2163;PARMAJ;18.635;17.23;PIN
2163;PARMAJ;18;15.88;PIN
2163;PARMAJ;18.715;16.66;PIN
2163;PARMAJ;19.17;17.1;PIN
2163;PARMAJ;18.78;17;PIN
2163;PARMAJ;19.305;17.56;PIN
2163;PARMAJ;19.1;16.96;PIN
2163;PARMAJ;20.485;18.14;PIN
2163;PARMAJ;18.94;14.88;PIN
2163;PARMAJ;18.92;16.09;PIN
2181;PARMAJ;21.315;15.46;PIN
2181;PARMAJ;19.62;16.48;PIN
2181;PARMAJ;20.5;18.57;PIN
2181;PARMAJ;20.52;18.67;PIN
2181;PARMAJ;20.505;19.43;PIN
2181;PARMAJ;21.14;18.08;PIN
2181;PARMAJ;21.305;15;PIN
2181;PARMAJ;20.77;17.61;PIN
2181;PARMAJ;19.43;15.13;PIN
2181;PARMAJ;20.46;18.64;PIN
2181;PARMAJ;20.145;17.73;PIN
2183;PARMAJ;19.195;16.3;PIN
2183;PARMAJ;19.46;16.26;PIN
2183;PARMAJ;19.86;15.73;PIN
2183;PARMAJ;20.24;17.89;PIN
2183;PARMAJ;21.135;18.88;PIN
2183;PARMAJ;19.575;14.62;PIN
2183;PARMAJ;19.57;16.02;PIN
2183;PARMAJ;20.055;15.7;PIN
2183;PARMAJ;19.14;14.42;PIN
2193;PARMAJ;20.15;17.68;PIN
2193;PARMAJ;20.595;18.74;PIN
2193;PARMAJ;19.485;16.68;PIN
2193;PARMAJ;20.09;17.31;PIN
2193;PARMAJ;20.11;17.12;PIN
2193;PARMAJ;19.855;17.45;PIN
2193;PARMAJ;20.34;17.26;PIN
2193;PARMAJ;19.87;18.72;PIN
2193;PARMAJ;19.63;16.49;PIN
2452;PARMAJ;20.245;16.4;PIN
2452;PARMAJ;18.87;12.25;PIN
2452;PARMAJ;20.35;17.22;PIN
2452;PARMAJ;19.91;17.44;PIN
2452;PARMAJ;19.99;14.97;PIN
2452;PARMAJ;20.29;15.76;PIN
2452;PARMAJ;20.92;16.63;PIN
2452;PARMAJ;20.445;17.59;PIN
2452;PARMAJ;20.66;16.78;PIN
2452;PARMAJ;20.38;16.19;PIN
2453;PARCAE;16.445;10.21;MELANGE
2453;PARCAE;17.28;10.18;MELANGE
2453;PARCAE;16.265;8.73;MELANGE
2453;PARCAE;16.165;9.67;MELANGE
2551;PARMAJ;20.55;17.57;MELANGE
2551;PARMAJ;19.89;16.53;MELANGE
2551;PARMAJ;20.035;17.23;MELANGE
2551;PARMAJ;18.605;14.25;MELANGE
2551;PARMAJ;20.4;17.81;MELANGE
2551;PARMAJ;21.095;17.84;MELANGE
2552;PARMAJ;20.315;17.1;CHENE
2552;PARMAJ;20.165;18.01;CHENE
2552;PARMAJ;19.725;17.98;CHENE
2552;PARMAJ;19.785;17.65;CHENE
2552;PARMAJ;19.695;17.1;CHENE
2552;PARMAJ;20.63;19;CHENE
2552;PARMAJ;19.975;17.92;CHENE
2552;PARMAJ;20.32;18.72;CHENE
2552;PARMAJ;20.83;18.53;CHENE
2552;PARMAJ;20.54;17.67;CHENE
2553;PARMAJ;20.135;17.7;MELANGE
2553;PARMAJ;21.39;17.88;MELANGE
2553;PARMAJ;20.55;18.55;MELANGE
2553;PARMAJ;20.51;17.31;MELANGE
2553;PARMAJ;21.155;18.08;MELANGE
2553;PARMAJ;19.93;16.78;MELANGE
2553;PARMAJ;20.705;17.88;MELANGE
2553;PARMAJ;20.39;17.95;MELANGE
2553;PARMAJ;20.545;17.44;MELANGE
2553;PARMAJ;20.28;17.1;MELANGE
