point;espece;total
682C_1;mesange a longue queue;0
682C_2;mesange a longue queue;0
682D_1;mesange a longue queue;0
682D_2;mesange a longue queue;0
689A_1;mesange a longue queue;1
689A_2;mesange a longue queue;0
689B_1;mesange a longue queue;0
689B_2;mesange a longue queue;0
689C_1;mesange a longue queue;0
689C_2;mesange a longue queue;0
689D_1;mesange a longue queue;1
689D_2;mesange a longue queue;0
695A_1;mesange a longue queue;0
695A_2;mesange a longue queue;0
695B_1;mesange a longue queue;0
695B_2;mesange a longue queue;0
695C_1;mesange a longue queue;0
695C_2;mesange a longue queue;0
695D_1;mesange a longue queue;0
695D_2;mesange a longue queue;0
702A_1;mesange a longue queue;2
702A_2;mesange a longue queue;0
702B_1;mesange a longue queue;0
702B_2;mesange a longue queue;0
702C_1;mesange a longue queue;0
702C_2;mesange a longue queue;0
702D_1;mesange a longue queue;0
702D_2;mesange a longue queue;2
708A_1;mesange a longue queue;0
708A_2;mesange a longue queue;0
708B_1;mesange a longue queue;0
708B_2;mesange a longue queue;0
708C_1;mesange a longue queue;0
708C_2;mesange a longue queue;0
708D_1;mesange a longue queue;0
708D_2;mesange a longue queue;0
771A_1;mesange a longue queue;0
771A_2;mesange a longue queue;0
771B_1;mesange a longue queue;0
771B_2;mesange a longue queue;0
771C_1;mesange a longue queue;0
771C_2;mesange a longue queue;0
771D_1;mesange a longue queue;0
771D_2;mesange a longue queue;0
791A_1;mesange a longue queue;2
791A_2;mesange a longue queue;0
791B_1;mesange a longue queue;0
791B_2;mesange a longue queue;0
791C_1;mesange a longue queue;0
791C_2;mesange a longue queue;0
791D_1;mesange a longue queue;0
791D_2;mesange a longue queue;0
001A_1;alouette lulu;0
001A_2;alouette lulu;1
001B_1;alouette lulu;0
001B_2;alouette lulu;0
001C_1;alouette lulu;0
001C_2;alouette lulu;0
001D_1;alouette lulu;0
001D_2;alouette lulu;0
016A_1;alouette lulu;0
016A_2;alouette lulu;0
016B_1;alouette lulu;0
016B_2;alouette lulu;0
016C_1;alouette lulu;0
016C_2;alouette lulu;1
016D_1;alouette lulu;0
016D_2;alouette lulu;1
025A_1;alouette lulu;0
025B_1;alouette lulu;0
025C_1;alouette lulu;0
025D_1;alouette lulu;0
030A_1;alouette lulu;0
030B_1;alouette lulu;0
030C_1;alouette lulu;0
030D_1;alouette lulu;0
053A_1;alouette lulu;0
053B_1;alouette lulu;0
053C_1;alouette lulu;0
053D_1;alouette lulu;0
058A_1;alouette lulu;0
058A_2;alouette lulu;0
058B_1;alouette lulu;0
058B_2;alouette lulu;0
058C_1;alouette lulu;0
058C_2;alouette lulu;0
058D_1;alouette lulu;0
058D_2;alouette lulu;0
063A_1;alouette lulu;0
063B_1;alouette lulu;0
063C_1;alouette lulu;0
063D_1;alouette lulu;0
143A_1;alouette lulu;0
143A_2;alouette lulu;0
143B_1;alouette lulu;0
143B_2;alouette lulu;0
143C_1;alouette lulu;0
143C_2;alouette lulu;0
143D_1;alouette lulu;0
143D_2;alouette lulu;0
166A_1;alouette lulu;0
166A_2;alouette lulu;0
166B_1;alouette lulu;0
166B_2;alouette lulu;0
166C_1;alouette lulu;0
166C_2;alouette lulu;0
166D_1;alouette lulu;0
166D_2;alouette lulu;0
168A_1;alouette lulu;0
168A_2;alouette lulu;0
168B_1;alouette lulu;0
168B_2;alouette lulu;0
168C_1;alouette lulu;0
168C_2;alouette lulu;0
168D_1;alouette lulu;1
168D_2;alouette lulu;0
182A_1;alouette lulu;0
182B_1;alouette lulu;0
182C_1;alouette lulu;0
182D_1;alouette lulu;0
199A_1;alouette lulu;0
199A_2;alouette lulu;0
199B_1;alouette lulu;0
199B_2;alouette lulu;0
199C_1;alouette lulu;0
199C_2;alouette lulu;0
199D_1;alouette lulu;0
199D_2;alouette lulu;0
213A_1;alouette lulu;0
213B_1;alouette lulu;0
213C_1;alouette lulu;0
213D_1;alouette lulu;0
242A_1;alouette lulu;0
242B_1;alouette lulu;0
242C_1;alouette lulu;0
242D_1;alouette lulu;0
260A_1;alouette lulu;2
260B_1;alouette lulu;1
260C_1;alouette lulu;0
260D_1;alouette lulu;2
271A_1;alouette lulu;0
271A_2;alouette lulu;0
271B_1;alouette lulu;0
271B_2;alouette lulu;0
271C_1;alouette lulu;0
271C_2;alouette lulu;0
271D_1;alouette lulu;0
271D_2;alouette lulu;0
354A_1;alouette lulu;0
354A_2;alouette lulu;0
354B_1;alouette lulu;0
354B_2;alouette lulu;0
354C_1;alouette lulu;0
354C_2;alouette lulu;0
354D_1;alouette lulu;0
354D_2;alouette lulu;0
385A_1;alouette lulu;0
385A_2;alouette lulu;0
385B_1;alouette lulu;0
385B_2;alouette lulu;0
385C_1;alouette lulu;0
385C_2;alouette lulu;0
385D_1;alouette lulu;0
385D_2;alouette lulu;0
434A_1;alouette lulu;0
434A_2;alouette lulu;0
434B_1;alouette lulu;0
434B_2;alouette lulu;0
434C_1;alouette lulu;0
434C_2;alouette lulu;0
434D_1;alouette lulu;0
434D_2;alouette lulu;0
443A_1;alouette lulu;1
443A_2;alouette lulu;0
443B_1;alouette lulu;0
443B_2;alouette lulu;0
443C_1;alouette lulu;0
443C_2;alouette lulu;0
443D_1;alouette lulu;0
443D_2;alouette lulu;0
452A_1;alouette lulu;0
452B_1;alouette lulu;3
452C_1;alouette lulu;0
452D_1;alouette lulu;0
490A_1;alouette lulu;0
490A_2;alouette lulu;0
490B_1;alouette lulu;0
490B_2;alouette lulu;0
490C_1;alouette lulu;0
490C_2;alouette lulu;0
490D_1;alouette lulu;0
490D_2;alouette lulu;0
506A_1;alouette lulu;0
506B_1;alouette lulu;0
506C_1;alouette lulu;2
506D_1;alouette lulu;0
524A_1;alouette lulu;0
524A_2;alouette lulu;0
524B_1;alouette lulu;0
524B_2;alouette lulu;0
524C_1;alouette lulu;0
524C_2;alouette lulu;0
524D_1;alouette lulu;0
524D_2;alouette lulu;0
682A_1;alouette lulu;0
682A_2;alouette lulu;0
682B_1;alouette lulu;0
682B_2;alouette lulu;0
682C_1;alouette lulu;2
682C_2;alouette lulu;0
682D_1;alouette lulu;0
682D_2;alouette lulu;0
689A_1;alouette lulu;0
689A_2;alouette lulu;0
689B_1;alouette lulu;0
689B_2;alouette lulu;0
689C_1;alouette lulu;0
689C_2;alouette lulu;0
689D_1;alouette lulu;0
689D_2;alouette lulu;0
695A_1;alouette lulu;0
695A_2;alouette lulu;0
695B_1;alouette lulu;0
695B_2;alouette lulu;0
695C_1;alouette lulu;0
695C_2;alouette lulu;0
695D_1;alouette lulu;0
695D_2;alouette lulu;0
702A_1;alouette lulu;0
702A_2;alouette lulu;0
702B_1;alouette lulu;0
702B_2;alouette lulu;0
702C_1;alouette lulu;0
702C_2;alouette lulu;0
702D_1;alouette lulu;0
702D_2;alouette lulu;0
708A_1;alouette lulu;0
708A_2;alouette lulu;0
708B_1;alouette lulu;0
708B_2;alouette lulu;0
708C_1;alouette lulu;0
708C_2;alouette lulu;0
708D_1;alouette lulu;0
708D_2;alouette lulu;0
771A_1;alouette lulu;0
771A_2;alouette lulu;0
771B_1;alouette lulu;0
771B_2;alouette lulu;0
771C_1;alouette lulu;0
771C_2;alouette lulu;1
771D_1;alouette lulu;0
771D_2;alouette lulu;0
791A_1;alouette lulu;0
791A_2;alouette lulu;0
791B_1;alouette lulu;0
791B_2;alouette lulu;0
791C_1;alouette lulu;0
791C_2;alouette lulu;0
791D_1;alouette lulu;0
791D_2;alouette lulu;0
001A_1;accenteur mouchet;2
001A_2;accenteur mouchet;0
001B_1;accenteur mouchet;1
001B_2;accenteur mouchet;0
001C_1;accenteur mouchet;3
001C_2;accenteur mouchet;0
001D_1;accenteur mouchet;2
001D_2;accenteur mouchet;0
016A_1;accenteur mouchet;0
016A_2;accenteur mouchet;0
016B_1;accenteur mouchet;2
016B_2;accenteur mouchet;0
016C_1;accenteur mouchet;0
016C_2;accenteur mouchet;1
016D_1;accenteur mouchet;2
016D_2;accenteur mouchet;1
025A_1;accenteur mouchet;1
025B_1;accenteur mouchet;0
025C_1;accenteur mouchet;1
025D_1;accenteur mouchet;0
030A_1;accenteur mouchet;0
030B_1;accenteur mouchet;0
030C_1;accenteur mouchet;0
030D_1;accenteur mouchet;1
053A_1;accenteur mouchet;0
053B_1;accenteur mouchet;0
053C_1;accenteur mouchet;0
053D_1;accenteur mouchet;0
058A_1;accenteur mouchet;0
058A_2;accenteur mouchet;1
058B_1;accenteur mouchet;0
058B_2;accenteur mouchet;0
058C_1;accenteur mouchet;0
058C_2;accenteur mouchet;1
058D_1;accenteur mouchet;0
058D_2;accenteur mouchet;0
063A_1;accenteur mouchet;0
063B_1;accenteur mouchet;1
063C_1;accenteur mouchet;2
063D_1;accenteur mouchet;0
143A_1;accenteur mouchet;2
143A_2;accenteur mouchet;1
143B_1;accenteur mouchet;0
143B_2;accenteur mouchet;0
143C_1;accenteur mouchet;0
143C_2;accenteur mouchet;0
143D_1;accenteur mouchet;0
143D_2;accenteur mouchet;0
166A_1;accenteur mouchet;1
166A_2;accenteur mouchet;0
166B_1;accenteur mouchet;1
166B_2;accenteur mouchet;0
166C_1;accenteur mouchet;0
166C_2;accenteur mouchet;2
166D_1;accenteur mouchet;1
166D_2;accenteur mouchet;0
168A_1;accenteur mouchet;2
168A_2;accenteur mouchet;0
168B_1;accenteur mouchet;2
168B_2;accenteur mouchet;1
168C_1;accenteur mouchet;2
168C_2;accenteur mouchet;0
168D_1;accenteur mouchet;1
168D_2;accenteur mouchet;0
182A_1;accenteur mouchet;1
182B_1;accenteur mouchet;0
182C_1;accenteur mouchet;0
182D_1;accenteur mouchet;0
199A_1;accenteur mouchet;1
199A_2;accenteur mouchet;0
199B_1;accenteur mouchet;1
199B_2;accenteur mouchet;0
199C_1;accenteur mouchet;1
199C_2;accenteur mouchet;0
199D_1;accenteur mouchet;0
199D_2;accenteur mouchet;0
213A_1;accenteur mouchet;1
213B_1;accenteur mouchet;0
213C_1;accenteur mouchet;0
213D_1;accenteur mouchet;0
242A_1;accenteur mouchet;0
242B_1;accenteur mouchet;0
242C_1;accenteur mouchet;1
242D_1;accenteur mouchet;0
260A_1;accenteur mouchet;0
260B_1;accenteur mouchet;1
260C_1;accenteur mouchet;1
260D_1;accenteur mouchet;1
271A_1;accenteur mouchet;1
271A_2;accenteur mouchet;0
271B_1;accenteur mouchet;1
271B_2;accenteur mouchet;1
271C_1;accenteur mouchet;0
271C_2;accenteur mouchet;0
271D_1;accenteur mouchet;1
271D_2;accenteur mouchet;0
354A_1;accenteur mouchet;0
354A_2;accenteur mouchet;0
354B_1;accenteur mouchet;1
354B_2;accenteur mouchet;0
354C_1;accenteur mouchet;1
354C_2;accenteur mouchet;1
354D_1;accenteur mouchet;1
354D_2;accenteur mouchet;0
385A_1;accenteur mouchet;0
385A_2;accenteur mouchet;0
385B_1;accenteur mouchet;1
385B_2;accenteur mouchet;1
385C_1;accenteur mouchet;3
385C_2;accenteur mouchet;1
385D_1;accenteur mouchet;1
385D_2;accenteur mouchet;1
434A_1;accenteur mouchet;0
434A_2;accenteur mouchet;1
434B_1;accenteur mouchet;1
434B_2;accenteur mouchet;0
434C_1;accenteur mouchet;0
434C_2;accenteur mouchet;0
434D_1;accenteur mouchet;0
434D_2;accenteur mouchet;0
443A_1;accenteur mouchet;1
443A_2;accenteur mouchet;1
443B_1;accenteur mouchet;1
443B_2;accenteur mouchet;0
443C_1;accenteur mouchet;1
443C_2;accenteur mouchet;0
443D_1;accenteur mouchet;0
443D_2;accenteur mouchet;0
452A_1;accenteur mouchet;0
452B_1;accenteur mouchet;1
452C_1;accenteur mouchet;0
452D_1;accenteur mouchet;1
490A_1;accenteur mouchet;0
490A_2;accenteur mouchet;0
490B_1;accenteur mouchet;1
490B_2;accenteur mouchet;0
490C_1;accenteur mouchet;1
490C_2;accenteur mouchet;0
490D_1;accenteur mouchet;1
490D_2;accenteur mouchet;2
506A_1;accenteur mouchet;1
506B_1;accenteur mouchet;2
506C_1;accenteur mouchet;0
506D_1;accenteur mouchet;1
524A_1;accenteur mouchet;1
524A_2;accenteur mouchet;0
524B_1;accenteur mouchet;0
524B_2;accenteur mouchet;0
524C_1;accenteur mouchet;0
524C_2;accenteur mouchet;0
524D_1;accenteur mouchet;0
524D_2;accenteur mouchet;1
682A_1;accenteur mouchet;0
682A_2;accenteur mouchet;0
682B_1;accenteur mouchet;1
682B_2;accenteur mouchet;2
682C_1;accenteur mouchet;0
682C_2;accenteur mouchet;0
682D_1;accenteur mouchet;1
682D_2;accenteur mouchet;1
689A_1;accenteur mouchet;1
689A_2;accenteur mouchet;0
689B_1;accenteur mouchet;1
689B_2;accenteur mouchet;1
689C_1;accenteur mouchet;1
689C_2;accenteur mouchet;2
689D_1;accenteur mouchet;0
689D_2;accenteur mouchet;0
695A_1;accenteur mouchet;2
695A_2;accenteur mouchet;0
695B_1;accenteur mouchet;1
695B_2;accenteur mouchet;1
695C_1;accenteur mouchet;0
695C_2;accenteur mouchet;0
695D_1;accenteur mouchet;0
695D_2;accenteur mouchet;0
702A_1;accenteur mouchet;0
702A_2;accenteur mouchet;0
702B_1;accenteur mouchet;0
702B_2;accenteur mouchet;0
702C_1;accenteur mouchet;0
702C_2;accenteur mouchet;0
702D_1;accenteur mouchet;0
702D_2;accenteur mouchet;0
708A_1;accenteur mouchet;2
708A_2;accenteur mouchet;0
708B_1;accenteur mouchet;1
708B_2;accenteur mouchet;1
708C_1;accenteur mouchet;2
708C_2;accenteur mouchet;0
708D_1;accenteur mouchet;1
708D_2;accenteur mouchet;1
771A_1;accenteur mouchet;0
771A_2;accenteur mouchet;2
771B_1;accenteur mouchet;0
771B_2;accenteur mouchet;0
771C_1;accenteur mouchet;0
771C_2;accenteur mouchet;1
771D_1;accenteur mouchet;0
771D_2;accenteur mouchet;0
791A_1;accenteur mouchet;0
791A_2;accenteur mouchet;0
791B_1;accenteur mouchet;0
791B_2;accenteur mouchet;0
791C_1;accenteur mouchet;0
791C_2;accenteur mouchet;0
791D_1;accenteur mouchet;0
791D_2;accenteur mouchet;0
001A_1;grive draine;0
001A_2;grive draine;0
001B_1;grive draine;0
001B_2;grive draine;0
001C_1;grive draine;0
001C_2;grive draine;0
001D_1;grive draine;0
001D_2;grive draine;0
016A_1;grive draine;0
016A_2;grive draine;0
016B_1;grive draine;0
016B_2;grive draine;0
016C_1;grive draine;0
016C_2;grive draine;0
016D_1;grive draine;0
016D_2;grive draine;0
025A_1;grive draine;0
025B_1;grive draine;0
025C_1;grive draine;0
025D_1;grive draine;2
030A_1;grive draine;0
030B_1;grive draine;0
030C_1;grive draine;0
030D_1;grive draine;0
053A_1;grive draine;0
053B_1;grive draine;1
053C_1;grive draine;0
053D_1;grive draine;0
058A_1;grive draine;1
058A_2;grive draine;0
058B_1;grive draine;1
058B_2;grive draine;0
058C_1;grive draine;0
058C_2;grive draine;0
058D_1;grive draine;0
058D_2;grive draine;1
063A_1;grive draine;0
063B_1;grive draine;0
063C_1;grive draine;0
063D_1;grive draine;0
143A_1;grive draine;1
143A_2;grive draine;0
143B_1;grive draine;1
143B_2;grive draine;0
143C_1;grive draine;1
143C_2;grive draine;0
143D_1;grive draine;0
143D_2;grive draine;0
166A_1;grive draine;0
166A_2;grive draine;0
166B_1;grive draine;6
166B_2;grive draine;0
166C_1;grive draine;0
166C_2;grive draine;1
166D_1;grive draine;0
166D_2;grive draine;0
168A_1;grive draine;0
168A_2;grive draine;0
168B_1;grive draine;0
168B_2;grive draine;0
168C_1;grive draine;0
168C_2;grive draine;1
168D_1;grive draine;0
168D_2;grive draine;1
182A_1;grive draine;0
182B_1;grive draine;0
182C_1;grive draine;0
182D_1;grive draine;0
199A_1;grive draine;0
199A_2;grive draine;0
199B_1;grive draine;0
199B_2;grive draine;0
199C_1;grive draine;0
199C_2;grive draine;0
199D_1;grive draine;1
199D_2;grive draine;0
213A_1;grive draine;0
213B_1;grive draine;0
213C_1;grive draine;0
213D_1;grive draine;0
242A_1;grive draine;0
242B_1;grive draine;0
242C_1;grive draine;0
242D_1;grive draine;0
260A_1;grive draine;0
260B_1;grive draine;0
260C_1;grive draine;0
260D_1;grive draine;0
271A_1;grive draine;0
271A_2;grive draine;0
271B_1;grive draine;1
271B_2;grive draine;0
271C_1;grive draine;0
271C_2;grive draine;0
271D_1;grive draine;0
271D_2;grive draine;0
354A_1;grive draine;0
354A_2;grive draine;0
354B_1;grive draine;0
354B_2;grive draine;0
354C_1;grive draine;0
354C_2;grive draine;0
354D_1;grive draine;0
354D_2;grive draine;0
385A_1;grive draine;0
385A_2;grive draine;0
385B_1;grive draine;1
385B_2;grive draine;0
385C_1;grive draine;0
385C_2;grive draine;0
385D_1;grive draine;0
385D_2;grive draine;0
434A_1;grive draine;0
434A_2;grive draine;1
434B_1;grive draine;0
434B_2;grive draine;0
434C_1;grive draine;0
434C_2;grive draine;0
434D_1;grive draine;0
434D_2;grive draine;0
443A_1;grive draine;0
443A_2;grive draine;0
443B_1;grive draine;0
443B_2;grive draine;0
443C_1;grive draine;0
443C_2;grive draine;1
443D_1;grive draine;0
443D_2;grive draine;0
452A_1;grive draine;1
452B_1;grive draine;1
452C_1;grive draine;0
452D_1;grive draine;0
490A_1;grive draine;0
490A_2;grive draine;0
490B_1;grive draine;0
490B_2;grive draine;0
490C_1;grive draine;0
490C_2;grive draine;0
490D_1;grive draine;0
490D_2;grive draine;0
506A_1;grive draine;0
506B_1;grive draine;0
506C_1;grive draine;0
506D_1;grive draine;0
524A_1;grive draine;0
524A_2;grive draine;4
524B_1;grive draine;1
524B_2;grive draine;0
524C_1;grive draine;0
524C_2;grive draine;0
524D_1;grive draine;0
524D_2;grive draine;0
682A_1;grive draine;0
682A_2;grive draine;3
682B_1;grive draine;0
682B_2;grive draine;0
682C_1;grive draine;0
682C_2;grive draine;0
682D_1;grive draine;0
682D_2;grive draine;0
689A_1;grive draine;0
689A_2;grive draine;1
689B_1;grive draine;0
689B_2;grive draine;0
689C_1;grive draine;0
689C_2;grive draine;0
689D_1;grive draine;0
689D_2;grive draine;0
695A_1;grive draine;0
695A_2;grive draine;0
695B_1;grive draine;0
695B_2;grive draine;1
695C_1;grive draine;0
695C_2;grive draine;0
695D_1;grive draine;0
695D_2;grive draine;0
702A_1;grive draine;1
702A_2;grive draine;5
702B_1;grive draine;0
702B_2;grive draine;1
702C_1;grive draine;0
702C_2;grive draine;0
702D_1;grive draine;0
702D_2;grive draine;0
708A_1;grive draine;2
708A_2;grive draine;0
708B_1;grive draine;2
708B_2;grive draine;0
708C_1;grive draine;1
708C_2;grive draine;0
708D_1;grive draine;1
708D_2;grive draine;0
771A_1;grive draine;0
771A_2;grive draine;2
771B_1;grive draine;0
771B_2;grive draine;0
771C_1;grive draine;0
771C_2;grive draine;0
771D_1;grive draine;1
771D_2;grive draine;0
791A_1;grive draine;0
791A_2;grive draine;0
791B_1;grive draine;0
791B_2;grive draine;0
791C_1;grive draine;0
791C_2;grive draine;0
791D_1;grive draine;0
791D_2;grive draine;1
001A_1;martinet noir;0
001A_2;martinet noir;0
001B_1;martinet noir;0
001B_2;martinet noir;0
001C_1;martinet noir;0
001C_2;martinet noir;0
001D_1;martinet noir;0
001D_2;martinet noir;0
016A_1;martinet noir;0
016A_2;martinet noir;0
016B_1;martinet noir;0
016B_2;martinet noir;0
016C_1;martinet noir;0
016C_2;martinet noir;0
016D_1;martinet noir;0
016D_2;martinet noir;0
025A_1;martinet noir;0
025B_1;martinet noir;0
025C_1;martinet noir;0
025D_1;martinet noir;0
030A_1;martinet noir;0
030B_1;martinet noir;0
030C_1;martinet noir;0
030D_1;martinet noir;0
053A_1;martinet noir;0
053B_1;martinet noir;0
053C_1;martinet noir;0
053D_1;martinet noir;0
058A_1;martinet noir;0
058A_2;martinet noir;0
058B_1;martinet noir;0
058B_2;martinet noir;0
058C_1;martinet noir;0
058C_2;martinet noir;0
058D_1;martinet noir;0
058D_2;martinet noir;0
063A_1;martinet noir;0
063B_1;martinet noir;0
063C_1;martinet noir;0
063D_1;martinet noir;0
143A_1;martinet noir;0
143A_2;martinet noir;0
143B_1;martinet noir;0
143B_2;martinet noir;0
143C_1;martinet noir;0
143C_2;martinet noir;0
143D_1;martinet noir;0
143D_2;martinet noir;0
166A_1;martinet noir;0
166A_2;martinet noir;0
166B_1;martinet noir;0
166B_2;martinet noir;0
166C_1;martinet noir;0
166C_2;martinet noir;0
166D_1;martinet noir;0
166D_2;martinet noir;0
168A_1;martinet noir;0
168A_2;martinet noir;1
168B_1;martinet noir;0
168B_2;martinet noir;0
168C_1;martinet noir;0
168C_2;martinet noir;5
168D_1;martinet noir;0
168D_2;martinet noir;0
182A_1;martinet noir;0
182B_1;martinet noir;0
182C_1;martinet noir;0
182D_1;martinet noir;0
199A_1;martinet noir;0
199A_2;martinet noir;0
199B_1;martinet noir;0
199B_2;martinet noir;0
199C_1;martinet noir;0
199C_2;martinet noir;0
199D_1;martinet noir;0
199D_2;martinet noir;0
213A_1;martinet noir;0
213B_1;martinet noir;0
213C_1;martinet noir;0
213D_1;martinet noir;0
242A_1;martinet noir;0
242B_1;martinet noir;0
242C_1;martinet noir;0
242D_1;martinet noir;0
260A_1;martinet noir;0
260B_1;martinet noir;0
260C_1;martinet noir;0
260D_1;martinet noir;0
271A_1;martinet noir;0
271A_2;martinet noir;0
271B_1;martinet noir;0
271B_2;martinet noir;0
271C_1;martinet noir;0
271C_2;martinet noir;0
271D_1;martinet noir;0
271D_2;martinet noir;0
354A_1;martinet noir;0
354A_2;martinet noir;49
354B_1;martinet noir;0
354B_2;martinet noir;60
354C_1;martinet noir;0
354C_2;martinet noir;0
354D_1;martinet noir;0
354D_2;martinet noir;2
385A_1;martinet noir;0
385A_2;martinet noir;0
385B_1;martinet noir;0
385B_2;martinet noir;2
385C_1;martinet noir;0
385C_2;martinet noir;0
385D_1;martinet noir;0
385D_2;martinet noir;2
434A_1;martinet noir;0
434A_2;martinet noir;0
434B_1;martinet noir;0
434B_2;martinet noir;2
434C_1;martinet noir;0
434C_2;martinet noir;0
434D_1;martinet noir;0
434D_2;martinet noir;0
443A_1;martinet noir;0
443A_2;martinet noir;1
443B_1;martinet noir;0
443B_2;martinet noir;0
443C_1;martinet noir;0
443C_2;martinet noir;2
443D_1;martinet noir;0
443D_2;martinet noir;0
452A_1;martinet noir;0
452B_1;martinet noir;0
452C_1;martinet noir;0
452D_1;martinet noir;0
490A_1;martinet noir;0
490A_2;martinet noir;0
490B_1;martinet noir;0
490B_2;martinet noir;0
490C_1;martinet noir;0
490C_2;martinet noir;0
490D_1;martinet noir;0
490D_2;martinet noir;0
506A_1;martinet noir;0
506B_1;martinet noir;0
506C_1;martinet noir;0
506D_1;martinet noir;0
524A_1;martinet noir;0
524A_2;martinet noir;0
524B_1;martinet noir;0
524B_2;martinet noir;0
524C_1;martinet noir;0
524C_2;martinet noir;0
524D_1;martinet noir;0
524D_2;martinet noir;0
682A_1;martinet noir;0
682A_2;martinet noir;0
682B_1;martinet noir;0
682B_2;martinet noir;0
682C_1;martinet noir;0
682C_2;martinet noir;0
682D_1;martinet noir;0
682D_2;martinet noir;0
689A_1;martinet noir;0
689A_2;martinet noir;0
689B_1;martinet noir;0
689B_2;martinet noir;0
689C_1;martinet noir;0
689C_2;martinet noir;0
689D_1;martinet noir;0
689D_2;martinet noir;0
695A_1;martinet noir;0
695A_2;martinet noir;0
695B_1;martinet noir;0
695B_2;martinet noir;0
695C_1;martinet noir;0
695C_2;martinet noir;0
695D_1;martinet noir;0
695D_2;martinet noir;3
702A_1;martinet noir;0
702A_2;martinet noir;0
702B_1;martinet noir;0
702B_2;martinet noir;0
702C_1;martinet noir;0
702C_2;martinet noir;0
702D_1;martinet noir;0
702D_2;martinet noir;0
708A_1;martinet noir;0
708A_2;martinet noir;0
708B_1;martinet noir;0
708B_2;martinet noir;0
708C_1;martinet noir;0
708C_2;martinet noir;0
708D_1;martinet noir;0
708D_2;martinet noir;0
771A_1;martinet noir;0
771A_2;martinet noir;0
771B_1;martinet noir;0
771B_2;martinet noir;0
771C_1;martinet noir;0
771C_2;martinet noir;0
771D_1;martinet noir;0
771D_2;martinet noir;0
791A_1;martinet noir;0
791A_2;martinet noir;0
791B_1;martinet noir;0
791B_2;martinet noir;0
791C_1;martinet noir;0
791C_2;martinet noir;0
791D_1;martinet noir;0
791D_2;martinet noir;0
